"ID","Protein.Group","Genes","First.Protein.Description","mean_pI","mean_mw","mean_gravy"
1,"A0A096MIV5;A0A0G2K762","Abcf2","ATP-binding cassette subfamily F member 2",6.76417174341822,71242.58784,-0.522324027622941
2,"A0A096MIX2;E9PT29","Ddx17","RNA helicase",8.93485527846281,72491.75134,-0.675725868963105
3,"A0A096MJ11;A0A8I6B2B6","Gsdmd","Gasdermin D",5.17864171706965,51097.10884,-0.175329316397062
4,"A0A096MJ31;A0A0G2K5G6;G3V9X8","Magt1","Magnesium transporter protein 1",9.70128036745867,35451.85384,0.0656801699591113
5,"A0A096MJ68","Slpi","Secretory leukocyte peptidase inhibitor",9.12417855042341,11818.14894,-0.628971962616822
6,"A0A096MJ91;A0A096MJW5;A0A096MJW8;D4A4H0","Plch1","Phosphoinositide phospholipase C",7.37537374618541,169216.796815,-0.606253034714945
7,"A0A096MJ94","Bms1","BMS1 ribosome biogenesis factor",5.97370153612828,145025.20944,-0.812792511700468
8,"A0A096MJB3;A0A8I6AN51;M0R565","Wdr82","RCG25772, isoform CRA_a",7.97937437052431,35098.1060066667,-0.198809084552788
9,"A0A096MJE3","Gspt2","G1 to S phase transition 2",5.08100185467968,69232.79554,-0.331962025316456
10,"A0A096MJI1;A0A096MJV6;A0A096MKH8","Zfx","Zinc finger protein X-linked",6.9338684256537,77032.2493733333,-0.691419962831257
11,"A0A096MJL4;A0A0G2K920;A0A8I6GH36","Tlk1","Tousled-like kinase 1",8.87282514867766,84874.4880733333,-0.767591077981767
12,"A0A096MJM8;A0A8I6A8V8","Las1l","LAS1-like (S. cerevisiae)",4.31031113453777,86851.31304,-0.768364792055499
13,"A0A096MJN4","Septin4","Septin-4",5.81302285294476,53083.11194,-0.720043572984749
14,"A0A096MJS9;A0A8I6ADX3","Esco2;Esco2-ps2","Establishment of sister chromatid cohesion N-acetyltransferase 2",9.58135574745988,67755.77364,-0.65453781512605
15,"A0A096MJU1","Atad2b","ATPase family, AAA domain-containing 2B",6.44445423217984,164187.19364,-0.691259463179628
16,"A0A096MJU4;A0A8I6AHQ7","Slc37a2","Solute carrier family 37 member 2",6.53536864503983,54773.71624,0.415595777499277
17,"A0A096MJX5;D3ZKZ0","C3h9orf78","Uncharacterized protein RGD1305178",6.32078400994453,34694.44619,-1.15575040515089
18,"A0A096MJY2","Stoml3","Stomatin (Epb7.2)-like 3",8.8357717883098,31677.04324,0.189198606271777
19,"A0A096MJY4","Mef2c","Myocyte-specific enhancer factor 2C",8.18151953135494,51217.23864,-0.631923890063425
20,"A0A096MJY6;A0A0G2JTB2","Gbe1","1,4-alpha-glucan branching enzyme",6.26722042732766,76098.65434,-0.447788370224268
